,date,symbol,price,volume,Earnings Per Share,Total Assets,Total Liabilities,Estimated Shares Outstanding
378522,2016-01-04,AAPL,102.610001,67649400.0,8.35,321686000000.0,193437000000.0,5471497005.99
378523,2016-01-05,AAPL,105.75,55791000.0,8.35,321686000000.0,193437000000.0,5471497005.99
378524,2016-01-06,AAPL,100.559998,68457400.0,8.35,321686000000.0,193437000000.0,5471497005.99
378525,2016-01-07,AAPL,98.68,81094400.0,8.35,321686000000.0,193437000000.0,5471497005.99
378526,2016-01-08,AAPL,98.550003,70798000.0,8.35,321686000000.0,193437000000.0,5471497005.99
378527,2016-01-11,AAPL,98.970001,49739400.0,8.35,321686000000.0,193437000000.0,5471497005.99
378528,2016-01-12,AAPL,100.550003,49154200.0,8.35,321686000000.0,193437000000.0,5471497005.99
378529,2016-01-13,AAPL,100.32,62439600.0,8.35,321686000000.0,193437000000.0,5471497005.99
378530,2016-01-14,AAPL,97.959999,63170100.0,8.35,321686000000.0,193437000000.0,5471497005.99
378531,2016-01-15,AAPL,96.199997,79010000.0,8.35,321686000000.0,193437000000.0,5471497005.99
378532,2016-01-19,AAPL,98.410004,53087700.0,8.35,321686000000.0,193437000000.0,5471497005.99
378533,2016-01-20,AAPL,95.099998,72334400.0,8.35,321686000000.0,193437000000.0,5471497005.99
378534,2016-01-21,AAPL,97.059998,52161500.0,8.35,321686000000.0,193437000000.0,5471497005.99
378535,2016-01-22,AAPL,98.629997,65800500.0,8.35,321686000000.0,193437000000.0,5471497005.99
378536,2016-01-25,AAPL,101.519997,51794500.0,8.35,321686000000.0,193437000000.0,5471497005.99
378537,2016-01-26,AAPL,99.93,75077000.0,8.35,321686000000.0,193437000000.0,5471497005.99
378538,2016-01-27,AAPL,96.040001,133369700.0,8.35,321686000000.0,193437000000.0,5471497005.99
378539,2016-01-28,AAPL,93.790001,55678800.0,8.35,321686000000.0,193437000000.0,5471497005.99
378540,2016-01-29,AAPL,94.790001,64416500.0,8.35,321686000000.0,193437000000.0,5471497005.99
378541,2016-02-01,AAPL,96.470001,40943500.0,8.35,321686000000.0,193437000000.0,5471497005.99
378542,2016-02-02,AAPL,95.41999799999999,37357200.0,8.35,321686000000.0,193437000000.0,5471497005.99
378543,2016-02-03,AAPL,95.0,45964300.0,8.35,321686000000.0,193437000000.0,5471497005.99
378544,2016-02-04,AAPL,95.860001,46471700.0,8.35,321686000000.0,193437000000.0,5471497005.99
378545,2016-02-05,AAPL,96.519997,46418100.0,8.35,321686000000.0,193437000000.0,5471497005.99
378546,2016-02-08,AAPL,93.129997,54021400.0,8.35,321686000000.0,193437000000.0,5471497005.99
378547,2016-02-09,AAPL,94.290001,44331200.0,8.35,321686000000.0,193437000000.0,5471497005.99
378548,2016-02-10,AAPL,95.91999799999999,42343600.0,8.35,321686000000.0,193437000000.0,5471497005.99
378549,2016-02-11,AAPL,93.790001,50074700.0,8.35,321686000000.0,193437000000.0,5471497005.99
378550,2016-02-12,AAPL,94.190002,40351400.0,8.35,321686000000.0,193437000000.0,5471497005.99
378551,2016-02-16,AAPL,95.019997,49057900.0,8.35,321686000000.0,193437000000.0,5471497005.99
378552,2016-02-17,AAPL,96.66999799999999,44863200.0,8.35,321686000000.0,193437000000.0,5471497005.99
378553,2016-02-18,AAPL,98.839996,39021000.0,8.35,321686000000.0,193437000000.0,5471497005.99
378554,2016-02-19,AAPL,96.0,35374200.0,8.35,321686000000.0,193437000000.0,5471497005.99
378555,2016-02-22,AAPL,96.309998,34280800.0,8.35,321686000000.0,193437000000.0,5471497005.99
378556,2016-02-23,AAPL,96.400002,31942600.0,8.35,321686000000.0,193437000000.0,5471497005.99
378557,2016-02-24,AAPL,93.980003,36255700.0,8.35,321686000000.0,193437000000.0,5471497005.99
378558,2016-02-25,AAPL,96.050003,27582700.0,8.35,321686000000.0,193437000000.0,5471497005.99
378559,2016-02-26,AAPL,97.199997,28991100.0,8.35,321686000000.0,193437000000.0,5471497005.99
378560,2016-02-29,AAPL,96.860001,35216300.0,8.35,321686000000.0,193437000000.0,5471497005.99
378561,2016-03-01,AAPL,97.650002,50407100.0,8.35,321686000000.0,193437000000.0,5471497005.99
378562,2016-03-02,AAPL,100.510002,33169600.0,8.35,321686000000.0,193437000000.0,5471497005.99
378563,2016-03-03,AAPL,100.58000200000001,36955700.0,8.35,321686000000.0,193437000000.0,5471497005.99
378564,2016-03-04,AAPL,102.370003,46055100.0,8.35,321686000000.0,193437000000.0,5471497005.99
378565,2016-03-07,AAPL,102.389999,35828900.0,8.35,321686000000.0,193437000000.0,5471497005.99
378566,2016-03-08,AAPL,100.779999,31561900.0,8.35,321686000000.0,193437000000.0,5471497005.99
378567,2016-03-09,AAPL,101.309998,27201700.0,8.35,321686000000.0,193437000000.0,5471497005.99
378568,2016-03-10,AAPL,101.410004,33513600.0,8.35,321686000000.0,193437000000.0,5471497005.99
378569,2016-03-11,AAPL,102.239998,27408200.0,8.35,321686000000.0,193437000000.0,5471497005.99
378570,2016-03-14,AAPL,101.910004,25076100.0,8.35,321686000000.0,193437000000.0,5471497005.99
378571,2016-03-15,AAPL,103.959999,40067700.0,8.35,321686000000.0,193437000000.0,5471497005.99
378572,2016-03-16,AAPL,104.610001,38303500.0,8.35,321686000000.0,193437000000.0,5471497005.99
378573,2016-03-17,AAPL,105.519997,34420700.0,8.35,321686000000.0,193437000000.0,5471497005.99
378574,2016-03-18,AAPL,106.339996,44205200.0,8.35,321686000000.0,193437000000.0,5471497005.99
378575,2016-03-21,AAPL,105.93,35502700.0,8.35,321686000000.0,193437000000.0,5471497005.99
378576,2016-03-22,AAPL,105.25,32444400.0,8.35,321686000000.0,193437000000.0,5471497005.99
378577,2016-03-23,AAPL,106.480003,25703500.0,8.35,321686000000.0,193437000000.0,5471497005.99
378578,2016-03-24,AAPL,105.470001,26133000.0,8.35,321686000000.0,193437000000.0,5471497005.99
378579,2016-03-28,AAPL,106.0,19411400.0,8.35,321686000000.0,193437000000.0,5471497005.99
378580,2016-03-29,AAPL,104.889999,31190100.0,8.35,321686000000.0,193437000000.0,5471497005.99
378581,2016-03-30,AAPL,108.650002,45601100.0,8.35,321686000000.0,193437000000.0,5471497005.99
378582,2016-03-31,AAPL,109.720001,25888400.0,8.35,321686000000.0,193437000000.0,5471497005.99
378583,2016-04-01,AAPL,108.779999,25874000.0,8.35,321686000000.0,193437000000.0,5471497005.99
378584,2016-04-04,AAPL,110.41999799999999,37356200.0,8.35,321686000000.0,193437000000.0,5471497005.99
378585,2016-04-05,AAPL,109.510002,26578700.0,8.35,321686000000.0,193437000000.0,5471497005.99
378586,2016-04-06,AAPL,110.230003,26404100.0,8.35,321686000000.0,193437000000.0,5471497005.99
378587,2016-04-07,AAPL,109.949997,31801900.0,8.35,321686000000.0,193437000000.0,5471497005.99
378588,2016-04-08,AAPL,108.910004,23581700.0,8.35,321686000000.0,193437000000.0,5471497005.99
378589,2016-04-11,AAPL,108.970001,29407500.0,8.35,321686000000.0,193437000000.0,5471497005.99
378590,2016-04-12,AAPL,109.339996,27232300.0,8.35,321686000000.0,193437000000.0,5471497005.99
378591,2016-04-13,AAPL,110.800003,33257300.0,8.35,321686000000.0,193437000000.0,5471497005.99
378592,2016-04-14,AAPL,111.620003,25473900.0,8.35,321686000000.0,193437000000.0,5471497005.99
378593,2016-04-15,AAPL,112.110001,46939000.0,8.35,321686000000.0,193437000000.0,5471497005.99
378594,2016-04-18,AAPL,108.889999,60834000.0,8.35,321686000000.0,193437000000.0,5471497005.99
378595,2016-04-19,AAPL,107.879997,32384900.0,8.35,321686000000.0,193437000000.0,5471497005.99
378596,2016-04-20,AAPL,106.639999,30611000.0,8.35,321686000000.0,193437000000.0,5471497005.99
378597,2016-04-21,AAPL,106.93,31552500.0,8.35,321686000000.0,193437000000.0,5471497005.99
378598,2016-04-22,AAPL,105.010002,33683100.0,8.35,321686000000.0,193437000000.0,5471497005.99
378599,2016-04-25,AAPL,105.0,28031600.0,8.35,321686000000.0,193437000000.0,5471497005.99
378600,2016-04-26,AAPL,103.910004,56016200.0,8.35,321686000000.0,193437000000.0,5471497005.99
378601,2016-04-27,AAPL,96.0,114602100.0,8.35,321686000000.0,193437000000.0,5471497005.99
378602,2016-04-28,AAPL,97.610001,82242700.0,8.35,321686000000.0,193437000000.0,5471497005.99
378603,2016-04-29,AAPL,93.989998,68531500.0,8.35,321686000000.0,193437000000.0,5471497005.99
378604,2016-05-02,AAPL,93.970001,48160100.0,8.35,321686000000.0,193437000000.0,5471497005.99
378605,2016-05-03,AAPL,94.199997,56831300.0,8.35,321686000000.0,193437000000.0,5471497005.99
378606,2016-05-04,AAPL,95.199997,41025500.0,8.35,321686000000.0,193437000000.0,5471497005.99
378607,2016-05-05,AAPL,94.0,35890500.0,8.35,321686000000.0,193437000000.0,5471497005.99
378608,2016-05-06,AAPL,93.370003,43458200.0,8.35,321686000000.0,193437000000.0,5471497005.99
378609,2016-05-09,AAPL,93.0,32936400.0,8.35,321686000000.0,193437000000.0,5471497005.99
378610,2016-05-10,AAPL,93.33000200000001,33686800.0,8.35,321686000000.0,193437000000.0,5471497005.99
378611,2016-05-11,AAPL,93.480003,28719100.0,8.35,321686000000.0,193437000000.0,5471497005.99
378612,2016-05-12,AAPL,92.720001,76314700.0,8.35,321686000000.0,193437000000.0,5471497005.99
378613,2016-05-13,AAPL,90.0,44392800.0,8.35,321686000000.0,193437000000.0,5471497005.99
378614,2016-05-16,AAPL,92.389999,61259800.0,8.35,321686000000.0,193437000000.0,5471497005.99
378615,2016-05-17,AAPL,94.550003,46916900.0,8.35,321686000000.0,193437000000.0,5471497005.99
378616,2016-05-18,AAPL,94.160004,42062400.0,8.35,321686000000.0,193437000000.0,5471497005.99
378617,2016-05-19,AAPL,94.639999,30442100.0,8.35,321686000000.0,193437000000.0,5471497005.99
378618,2016-05-20,AAPL,94.639999,32026000.0,8.35,321686000000.0,193437000000.0,5471497005.99
378619,2016-05-23,AAPL,95.870003,38018600.0,8.35,321686000000.0,193437000000.0,5471497005.99
378620,2016-05-24,AAPL,97.220001,35140200.0,8.35,321686000000.0,193437000000.0,5471497005.99
378621,2016-05-25,AAPL,98.66999799999999,38168800.0,8.35,321686000000.0,193437000000.0,5471497005.99
378622,2016-05-26,AAPL,99.68,56331200.0,8.35,321686000000.0,193437000000.0,5471497005.99
378623,2016-05-27,AAPL,99.440002,36229500.0,8.35,321686000000.0,193437000000.0,5471497005.99
378624,2016-05-31,AAPL,99.599998,42307200.0,8.35,321686000000.0,193437000000.0,5471497005.99
378625,2016-06-01,AAPL,99.019997,29173300.0,8.35,321686000000.0,193437000000.0,5471497005.99
378626,2016-06-02,AAPL,97.599998,40191600.0,8.35,321686000000.0,193437000000.0,5471497005.99
378627,2016-06-03,AAPL,97.790001,28062900.0,8.35,321686000000.0,193437000000.0,5471497005.99
378628,2016-06-06,AAPL,97.989998,23292500.0,8.35,321686000000.0,193437000000.0,5471497005.99
378629,2016-06-07,AAPL,99.25,22409500.0,8.35,321686000000.0,193437000000.0,5471497005.99
378630,2016-06-08,AAPL,99.019997,20848100.0,8.35,321686000000.0,193437000000.0,5471497005.99
378631,2016-06-09,AAPL,98.5,26601400.0,8.35,321686000000.0,193437000000.0,5471497005.99
378632,2016-06-10,AAPL,98.529999,31712900.0,8.35,321686000000.0,193437000000.0,5471497005.99
378633,2016-06-13,AAPL,98.690002,38020500.0,8.35,321686000000.0,193437000000.0,5471497005.99
378634,2016-06-14,AAPL,97.32,31931900.0,8.35,321686000000.0,193437000000.0,5471497005.99
378635,2016-06-15,AAPL,97.82,29445200.0,8.35,321686000000.0,193437000000.0,5471497005.99
378636,2016-06-16,AAPL,96.449997,31326800.0,8.35,321686000000.0,193437000000.0,5471497005.99
378637,2016-06-17,AAPL,96.620003,61008200.0,8.35,321686000000.0,193437000000.0,5471497005.99
378638,2016-06-20,AAPL,96.0,34411900.0,8.35,321686000000.0,193437000000.0,5471497005.99
378639,2016-06-21,AAPL,94.940002,35546400.0,8.35,321686000000.0,193437000000.0,5471497005.99
378640,2016-06-22,AAPL,96.25,29219100.0,8.35,321686000000.0,193437000000.0,5471497005.99
378641,2016-06-23,AAPL,95.940002,32240200.0,8.35,321686000000.0,193437000000.0,5471497005.99
378642,2016-06-24,AAPL,92.910004,75311400.0,8.35,321686000000.0,193437000000.0,5471497005.99
378643,2016-06-27,AAPL,93.0,45489600.0,8.35,321686000000.0,193437000000.0,5471497005.99
378644,2016-06-28,AAPL,92.900002,40444900.0,8.35,321686000000.0,193437000000.0,5471497005.99
378645,2016-06-29,AAPL,93.970001,36531000.0,8.35,321686000000.0,193437000000.0,5471497005.99
378646,2016-06-30,AAPL,94.440002,35836400.0,8.35,321686000000.0,193437000000.0,5471497005.99
378647,2016-07-01,AAPL,95.489998,26026500.0,8.35,321686000000.0,193437000000.0,5471497005.99
378648,2016-07-05,AAPL,95.389999,27705200.0,8.35,321686000000.0,193437000000.0,5471497005.99
378649,2016-07-06,AAPL,94.599998,30949100.0,8.35,321686000000.0,193437000000.0,5471497005.99
378650,2016-07-07,AAPL,95.699997,25139600.0,8.35,321686000000.0,193437000000.0,5471497005.99
378651,2016-07-08,AAPL,96.489998,28912100.0,8.35,321686000000.0,193437000000.0,5471497005.99
378652,2016-07-11,AAPL,96.75,23794900.0,8.35,321686000000.0,193437000000.0,5471497005.99
378653,2016-07-12,AAPL,97.16999799999999,24167500.0,8.35,321686000000.0,193437000000.0,5471497005.99
378654,2016-07-13,AAPL,97.410004,25892200.0,8.35,321686000000.0,193437000000.0,5471497005.99
378655,2016-07-14,AAPL,97.389999,38919000.0,8.35,321686000000.0,193437000000.0,5471497005.99
378656,2016-07-15,AAPL,98.91999799999999,30137000.0,8.35,321686000000.0,193437000000.0,5471497005.99
